strikePrice,expiryDate,underlying,identifier,pe_openInterest,pe_changeinOpenInterest,pe_pchangeinOpenInterest,pe_totalTradedVolume,pe_impliedVolatility,pe_lastPrice,pe_change,pe_pChange,pe_totalBuyQuantity,pe_totalSellQuantity,pe_bidQty,pe_bidprice,pe_askQty,pe_askPrice,pe_underlyingValue,ce_openInterest,ce_changeinOpenInterest,ce_pchangeinOpenInterest,ce_totalTradedVolume,ce_impliedVolatility,ce_lastPrice,ce_change,ce_pChange,ce_totalBuyQuantity,ce_totalSellQuantity,ce_bidQty,ce_bidprice,ce_askQty,ce_askPrice,ce_underlyingValue
22400,08-May-2025,NIFTY,OPTIDXNIFTY08-05-2025PE22400.00,7327,2371,47.8410008071025,152853,33.22,8.55,-3.3999999999999986,-28.451882845188276,25200,11925,225,8.3,975,8.5,24346.7,57,-1,-1.7241379310344827,29,0,1931.65,-58.44999999999982,-2.9370383397819113,1500,1500,750,1868.15,750,1978.35,24346.7
22450,08-May-2025,NIFTY,OPTIDXNIFTY08-05-2025PE22450.00,1992,833,71.87230371009491,80072,32.81,9.1,-3.8000000000000007,-29.457364341085274,24975,6525,75,8.7,1275,9.2,24346.7,10,-1,-9.090909090909092,2,62.36,2079,168.6500000000001,8.828225194336122,1500,1500,750,1818.2,750,1928.8,24346.7
22500,08-May-2025,NIFTY,OPTIDXNIFTY08-05-2025PE22500.00,39874,4314,12.131608548931384,375466,31.97,8.95,-5.15,-36.52482269503546,920550,104850,1125,8.95,225,9.45,24346.7,863,5,0.5827505827505828,56,0,1842,15.650000000000091,0.8569003750650254,1950,2025,375,1814.1,225,1879.55,24346.7
22550,08-May-2025,NIFTY,OPTIDXNIFTY08-05-2025PE22550.00,2527,2001,380.4182509505703,82266,31.56,9.55,-5.449999999999999,-36.33333333333333,26475,9975,675,9.5,1500,10.35,24346.7,55,-1,-1.7857142857142858,7,62.87,1999.6,195.79999999999995,10.854861958088478,1500,1500,750,1719.6,750,1829.9,24346.7
22600,08-May-2025,NIFTY,OPTIDXNIFTY08-05-2025PE22600.00,7655,-9532,-55.46052248792692,201287,31.02,9.95,-6.350000000000001,-38.95705521472394,74325,13950,1800,10.15,75,10.45,24346.7,160,-99,-38.22393822393823,131,0,1716.25,-83.90000000000009,-4.66072271755132,1650,1725,75,1699.2,75,1750.85,24346.7
22650,08-May-2025,NIFTY,OPTIDXNIFTY08-05-2025PE22650.00,1762,642,57.32142857142857,88325,30.92,11.3,-6.699999999999999,-37.222222222222214,19125,5250,1125,10.2,1050,11.3,24346.7,36,-14,-28,45,0,1630.4,-129.29999999999995,-7.347843382394724,1500,1500,750,1621.8,750,1730.95,24346.7
22700,08-May-2025,NIFTY,OPTIDXNIFTY08-05-2025PE22700.00,8501,-2552,-23.08875418438433,169974,30.24,11.5,-7.600000000000001,-39.79057591623037,55650,11625,75,11.25,150,11.7,24346.7,124,-65,-34.39153439153439,79,0,1608.65,-70.09999999999991,-4.175725986597166,1575,1500,750,1571.7,750,1681.5,24346.7
22750,08-May-2025,NIFTY,OPTIDXNIFTY08-05-2025PE22750.00,3635,2325,177.48091603053436,118509,29.69,12,-9.05,-42.99287410926366,36525,10050,450,11.55,450,12.45,24346.7,9,0,0,0,0,1635,0,0,1500,1500,750,1521.1,750,1627.35,24346.7
22800,08-May-2025,NIFTY,OPTIDXNIFTY08-05-2025PE22800.00,11232,-5826,-34.1540626099191,244273,29.38,13.1,-9.000000000000002,-40.72398190045249,109650,22650,1800,12.55,150,13.1,24346.7,235,-3,-1.2605042016806722,11,36.19,1620,60.200000000000045,3.8594691627131716,1650,1650,75,1478.45,75,1549.35,24346.7
22850,08-May-2025,NIFTY,OPTIDXNIFTY08-05-2025PE22850.00,2794,1260,82.13820078226858,119912,28.67,13.3,-10.05,-43.0406852248394,24075,5100,450,13.3,600,13.7,24346.7,19,-1,-5,1,0,1455,-70.40000000000009,-4.615182902845161,1800,1800,75,1473.15,75,1500.55,24346.7
22900,08-May-2025,NIFTY,OPTIDXNIFTY08-05-2025PE22900.00,10795,1586,17.22228254967966,204124,28.41,14.7,-10.350000000000001,-41.31736526946108,56325,21075,825,14.25,1800,14.65,24346.7,250,-205,-45.05494505494506,260,0,1423.25,4,0.2818389994715519,2250,2250,75,1421.3,75,1441.9,24346.7
